,title,content,published_date,image_url,description,source,author,article_url
10,Asian stocks enter bull market as investors bet on China,"Stocks in Asia are starting 2023 in a bull market. Investors have been cheered by Chinas pivot away from its zero-Covid policy, the ending of its crackdown on tech companies and Beijings renewed comm… [+2281 chars]",2023-01-10T11:57:08Z,"https://media.cnn.com/api/v1/images/stellar/prod/230110103139-hang-seng-010323.jpg?c=16x9&q=w_800,c_fill","Stocks in Asia are starting 2023 in a bull market. Investors have been cheered by China's pivot away from its zero-Covid policy, the ending of its crackdown on tech companies and Beijing's renewed commitment to growing the world's second biggest economy.","{'id': 'cnn', 'name': 'CNN'}",Anna Cooban,https://www.cnn.com/2023/01/10/investing/asia-stocks-bull-market-china/index.html
11,Taiwan willing to offer help to China to deal with Covid-19 surge,"Taiwans President Tsai Ing-wen said the self-ruled democratic island is willing to provide assistance to help China deal with its Covid surge after Beijing eased its hardline approach last month.
Ch… [+2640 chars]",2023-01-01T03:31:49Z,"https://media.cnn.com/api/v1/images/stellar/prod/221231205533-tsai-ing-wen-1227-file.jpg?c=16x9&q=w_800,c_fill",Taiwan's President Tsai Ing-wen said the self-ruled democratic island is willing to provide assistance to help China deal with its Covid surge after Beijing eased its hardline approach last month.,"{'id': 'cnn', 'name': 'CNN'}","Wayne Chang, Kathleen Magramo",https://www.cnn.com/2022/12/31/asia/china-covid-surge-taiwan-help-intl-hnk/index.html
12,What the return of Chinese tourists means for the global economy,"In the years before Covid, China was the worlds most important source of international travelers. Its 155 million tourists spent more than a quarter of a trillion dollars beyond its borders in 2019. … [+6550 chars]",2023-01-07T01:46:04Z,"https://media.cnn.com/api/v1/images/stellar/prod/230106014355-01-beijing-airport-123022-restricted.jpg?c=16x9&q=w_800,c_fill","In the years before Covid, China was the world's most important source of international travelers. Its 155 million tourists spent more than a quarter of a trillion dollars beyond its borders in 2019.","{'id': 'cnn', 'name': 'CNN'}","Laura He, Juliana Liu, Cheng Cheng",https://www.cnn.com/2023/01/06/economy/china-tourist-boom-post-covid-impact-intl-hnk/index.html
13,China to open border with Hong Kong after three years of tight control,"The Chinese government announced on Thursday that it will reopen its border with Hong Kong on January 8, nearly three years after it was largely shut in an effort to contain the spread of Covid. 
Th… [+1815 chars]",2023-01-05T06:28:00Z,"https://media.cnn.com/api/v1/images/stellar/prod/230105003851-01-hk-china-border-121421.jpg?c=16x9&q=w_800,c_fill","The Chinese government announced on Thursday that it will reopen its border with Hong Kong on January 8, nearly three years after it was largely shut in an effort to contain the spread of Covid.","{'id': 'cnn', 'name': 'CNN'}","Wayne Chang, Simone McCarthy",https://www.cnn.com/2023/01/05/china/hong-kong-china-border-reopening-january-8-intl-hnk/index.html
14,CDC has tested wastewater from aircraft amid concerns over Covid-19 surge in China,"The US Centers for Disease Control and Prevention has done some very preliminary work to do wastewater testing with airlines, Lori Tremmel Freeman, chief executive officer for the National Associatio… [+2508 chars]",2023-01-05T22:19:33Z,"https://media.cnn.com/api/v1/images/stellar/prod/220619213014-airplane.jpg?c=16x9&q=w_800,c_fill","The US Centers for Disease Control and Prevention has ""done some very preliminary work"" to do wastewater testing with airlines, Lori Tremmel Freeman, chief executive officer for the National Association of County and City Health Officials, said Wednesday. The…","{'id': 'cnn', 'name': 'CNN'}","Jacqueline Howard, Kylie Atwood, Pete Muntean",https://www.cnn.com/2023/01/05/health/airplane-wastewater-covid-testing/index.html
15,"'Everything starts to become better': After three years of Covid isolation, China opens its gates","Simone McCarthy, Selina Wang, Ivan Watson and Wayne Chang, CNNPublished 9th January 2023
Hong Kong (CNN) Thousands of travelers crossed mainland China's borders on Sunday for joyful reunions and lon… [+5967 chars]",2023-01-09T09:05:16Z,https://cdn.cnn.com/cnnnext/dam/assets/230109110023-travel-beijing-airport-super-tease.jpg,Thousands of travelers crossed mainland China's borders on Sunday for joyful reunions and long-awaited journeys as authorities relaxed restrictions that had both separated families and isolated the world's most populous country for nearly three years.,"{'id': 'cnn', 'name': 'CNN'}","By Simone McCarthy, Selina Wang, Ivan Watson and Wayne Chang, CNN",https://www.cnn.com/travel/article/china-borders-opening-travelers-react-intl-hnk/index.html
16,Global markets try to put last year's misery behind them,"Global stocks are striding higher on the first major trading day of 2023 as investors try to look beyond a gloomy outlook for the world economy, Chinas worst Covid outbreak and stubbornly high inflat… [+3473 chars]",2023-01-03T11:16:36Z,"https://media.cnn.com/api/v1/images/stellar/prod/230102123014-01-global-stocks-010223.jpg?c=16x9&q=w_800,c_fill","Global stocks are striding higher on the first major trading day of 2023 as investors try to look beyond a gloomy outlook for the world economy, China's worst Covid outbreak and stubbornly high inflation in Europe.","{'id': 'cnn', 'name': 'CNN'}",Anna Cooban,https://www.cnn.com/2023/01/03/investing/global-markets-new-year-stocks-rise/index.html
17,Here's what will drive markets this year - CNN,A version of this story first appeared in CNN Business Before the Bell newsletter. Not a subscriber? You can sign up right here. You can listen to an audio version of the newsletter by clicking the s… [+5404 chars],2023-01-03T12:18:00Z,"https://media.cnn.com/api/v1/images/stellar/prod/221229162028-new-york-stock-exchange-file-1117222.jpg?c=16x9&q=w_800,c_fill",Welcome to the first trading day of 2023. Markets are pushing higher but don't get comfortable just yet — if last year taught us anything it's to expect the unexpected.,"{'id': 'cnn', 'name': 'CNN'}",Nicole Goodkind,https://www.cnn.com/2023/01/03/investing/premarket-stocks-trading/index.html
18,Australia's top health adviser urged government against restrictions on travelers from China,"Australias top medical officer advised the government against imposing any restrictions on travelers coming from China, a day before the health minister announced new testing requirements, internal d… [+4918 chars]",2023-01-03T07:35:10Z,"https://media.cnn.com/api/v1/images/stellar/prod/221228113404-hong-kong-airport-file-122022.jpg?c=16x9&q=w_800,c_fill","Australia's top medical officer advised the government against imposing any restrictions on travelers coming from China, a day before the health minister announced new testing requirements, internal documents show.","{'id': 'cnn', 'name': 'CNN'}","Jessie Yeung, Hilary Whiteman, Alex Stambaugh",https://www.cnn.com/2023/01/03/australia/australia-china-covid-travel-restrictions-intl-hnk/index.html
19,"Alibaba, US-listed Chinese firms make roaring comeback in 2023 - CNN","Chinese tech giants are witnessing a dream start to the year. 
The Nasdaq Golden Dragon China Index a popular index tracking Chinese firms listed in the United States soared 13% in the first two tra… [+2671 chars]",2023-01-05T07:22:00Z,"https://media.cnn.com/api/v1/images/stellar/prod/230105140535-ant-group-booth.jpg?c=16x9&q=w_800,c_fill","Alibaba, US-listed Chinese firms make roaring comeback in 2023  CNN","{'id': 'cnn', 'name': 'CNN'}",Laura He,https://www.cnn.com/2023/01/05/tech/ant-group-china-tech-giants-rebound-intl-hnk/index.html
20,Cathay Pacific ramps up flights between Hong Kong and China as borders reopen,"Hong Kongs flagship airline is more than doubling its flights from the city to China after the easing of pandemic restrictions, raising hopes of a recoveryafter dramatically cutting operations and su… [+2454 chars]",2023-01-06T04:35:58Z,"https://media.cnn.com/api/v1/images/stellar/prod/230106105938-cathay-pacific-hk-file.jpg?c=16x9&q=w_800,c_fill","Hong Kong's flagship airline Cathay Pacific is more than doubling its flights to China after a massive easing of travel restrictions, raising hopes to return to pre-pandemic levels by the end of 2023 after dramatically cutting operations and suffering losses …","{'id': 'cnn', 'name': 'CNN'}",Kathleen Magramo,https://www.cnn.com/2023/01/05/business/cathay-pacific-doubles-flights-china-intl-hnk/index.html
21,Tom Zhu: China boss is now highest-profile Tesla executive after Elon Musk,"Tesla Incs China chief Tom Zhu has been promoted to take charge of the electric carmakers US assembly plants as well as sales operations in North America and Europe, according to an internal posting … [+3682 chars]",2023-01-03T05:10:20Z,"https://media.cnn.com/api/v1/images/stellar/prod/230103134208-tom-zhu-file.jpg?c=16x9&q=w_800,c_fill","Tesla Inc's China chief Tom Zhu has been promoted to take charge of the electric carmaker's US assembly plants as well as sales operations in North America and Europe, according to an internal posting of reporting lines reviewed by Reuters.","{'id': 'cnn', 'name': 'CNN'}",Reuters,https://www.cnn.com/2023/01/03/cars/tom-zhu-promotion-tesla-north-america-sales-intl-hnk/index.html
22,Where are Chinese travelers heading now that borders have reopened?,"Editor's Note Sign up for Unlocking the World, CNN Travel's weekly newsletter. Get news about destinations opening, inspiration for future adventures, plus the latest in aviation, food and drink, whe… [+12995 chars]",2023-01-08T02:37:50Z,https://cdn.cnn.com/cnnnext/dam/assets/230106105553-01-china-travelers-destinations-singapore-super-tease.jpg,"As of January 8, China's travel-starved residents are able to explore the world freely again. We talk to experts to find out which destinations and experiences are atop their wishlists.","{'id': 'cnn', 'name': 'CNN'}","Kate Springer, CNN",https://www.cnn.com/travel/article/china-travelers-destinations-intl-hnk/index.html
23,China's airlines launch new routes for 2023,"Although the first big wave of travelers in the country will likely be Chinese nationals living elsewhere wanting to reunite with family and friends, leisure tourism seems poised to follow.
The coun… [+3860 chars]",2023-01-10T02:17:05Z,https://cdn.cnn.com/cnnnext/dam/assets/230104113936-03-new-china-airline-routes-2023-johannesburg-super-tease.jpg,"New flights beginning in early 2023 connect mainland China to Johannesburg, Athens, Budapest and other major destinations.","{'id': 'cnn', 'name': 'CNN'}","By Lilit Marcus, CNN",https://www.cnn.com/travel/article/new-china-airline-routes-2023-intl-hnk/index.html
24,Xi Jinping estimates China's 2022 GDP grew at least 4.4%. But Covid misery looms,"Chinas economy grew at least 4.4% in 2022, according to leader Xi Jinping, a figure much stronger than many economists hadexpected. But the current Covid wave may hobble growth in the months ahead.
… [+2928 chars]",2023-01-02T06:07:33Z,"https://media.cnn.com/api/v1/images/stellar/prod/230102130622-xi-ny-speech-123122.jpg?c=16x9&q=w_800,c_fill","China's economy grew at least 4.4% in 2022, according to leader Xi Jinping, a figure much stronger than many economists had expected. But the current Covid wave may hobble growth in the months ahead.","{'id': 'cnn', 'name': 'CNN'}",Laura He,https://www.cnn.com/2023/01/02/economy/xi-jinping-china-gdp-estimate-covid-intl-hnk/index.html
25,Inflation fears fade as geopolitical risks rise,A version of this story first appeared in CNN Business Before the Bell newsletter. Not a subscriber? You can sign up right here. You can listen to an audio version of the newsletter by clicking the s… [+6802 chars],2023-01-04T12:45:57Z,"https://media.cnn.com/api/v1/images/stellar/prod/230103130914-russian-tank-2022-file.jpg?c=16x9&q=w_800,c_fill","Inflation fears roiled the markets in 2022. Now, investors may have scarier things to worry about in 2023, according to a report from global research and consulting firm Eurasia Group. Most notable? Concerns about the increasingly chaotic geopolitical landsca…","{'id': 'cnn', 'name': 'CNN'}",Paul R. La Monica,https://www.cnn.com/2023/01/04/investing/premarket-stocks-trading/index.html
26,Two global recessions in one decade? That hasn't happened in over 80 years,"The global economy is just one more knock away from a second recession in the same decade, something that hasnt happened in more than 80 years.
Thats the latest warning from the World Bank, which on… [+2378 chars]",2023-01-10T14:32:36Z,"https://media.cnn.com/api/v1/images/stellar/prod/230110111916-federal-reserve-file-123022.jpg?c=16x9&q=w_800,c_fill","The global economy is just one more knock away from a second recession in the same decade, something that hasn't happened in more than 80 years.","{'id': 'cnn', 'name': 'CNN'}",Julia Horowitz,https://www.cnn.com/2023/01/10/economy/world-bank-recession-economy/index.html
27,Tesla owners in China protest against surprise price cuts they missed,"Hundreds of Tesla owners gathered at the automakers showrooms and distribution centers in China over the weekend, demanding rebates and credit after sudden price cuts, which they said meant they had … [+4123 chars]",2023-01-09T04:15:31Z,"https://media.cnn.com/api/v1/images/stellar/prod/230109113144-file-elon-musk-model-3-car.jpg?c=16x9&q=w_800,c_fill","Hundreds of Tesla owners gathered at the automaker's showrooms and distribution centers in China over the weekend, demanding rebates and credit after sudden price cuts they said meant they had overpaid for electric cars they bought earlier.","{'id': 'cnn', 'name': 'CNN'}",Reuters,https://www.cnn.com/2023/01/08/business/tesla-china-price-cuts-hnk-intl/index.html
28,Opinion: The surprising twist in the battle for democracy,"Editors Note: Frida Ghitis, (@fridaghitis) a former CNN producer and correspondent, is a world affairs columnist. She is a weekly opinion contributor to CNN, a contributing columnist to The Washingto… [+8485 chars]",2023-01-06T11:12:50Z,"https://media.cnn.com/api/v1/images/stellar/prod/230105194422-ukraine-russia-war-220615.jpg?c=16x9&q=w_800,c_fill","Frida Ghitis writes that a year ago, the reverberations of the January 6 attack still loomed large. The leaders of Russia, China, even Iran, look confident and prepared to defy the world. Twelve months later, autocratic leaders around the world are now the on…","{'id': 'cnn', 'name': 'CNN'}",Frida Ghitis,https://www.cnn.com/2023/01/06/opinions/democracy-china-russia-2023-ghitis/index.html
29,"China's crackdown on tech giants is 'basically' over, top official says","Chinas heavy-handed crackdown on tech giants is coming to an end and the countrys economic growth is expected to be back on track soon, according to a top central bank official.
The crackdown on fin… [+3571 chars]",2023-01-09T07:41:23Z,"https://media.cnn.com/api/v1/images/stellar/prod/230109125735-file-guo-shuqing.jpg?c=16x9&q=w_800,c_fill","China's heavy-handed crackdown on tech giants is coming to an end and the country's economic growth is expected to be back on track soon, according to a top central bank official.","{'id': 'cnn', 'name': 'CNN'}",Laura He,https://www.cnn.com/2023/01/09/economy/china-economy-guo-shuqing-ant-group-intl-hnk/index.html
30,Apple has lost $1 trillion in market value in a year,Apples market cap fell below $2 trillion in trading Tuesday for the first time since early 2021 and one year to the day after the company became the first public tech company valued at $3 trillion. … [+1371 chars],2023-01-03T19:13:03Z,"https://media.cnn.com/api/v1/images/stellar/prod/230103124834-apple-store-file-restricted.jpg?c=16x9&q=w_800,c_fill",Apple's market cap fell below $2 trillion in trading Tuesday for the first time since early 2021 and one year to the day after the company became the first public tech company valued at $3 trillion.,"{'id': 'cnn', 'name': 'CNN'}",Samantha Murphy Kelly,https://www.cnn.com/2023/01/03/tech/apple-market-value-decline/index.html
31,"The new aircraft, routes and airplane cabins taking off in 2023","Editor's Note Sign up for Unlocking the World, CNN Travel's weekly newsletter. Get news about destinations opening, inspiration for future adventures, plus the latest in aviation, food and drink, whe… [+8491 chars]",2023-01-03T13:22:34Z,https://cdn.cnn.com/cnnnext/dam/assets/221216150405-c919a-super-tease.jpg,"After a chaotic year for aviation, airlines and passengers look forward to smoother skies in the 12-months ahead, with new aircraft, routes and flying experiences on the horizon.","{'id': 'cnn', 'name': 'CNN'}","John Walton, CNN",https://www.cnn.com/travel/article/aviation-lookahead-2023/index.html
32,Why now is the best time to book your 2023 vacation,"But it's still looking like a great year to travel.
Where to travel and when to book
While 2022 was the year we really started traveling again, 2023 is the year a lot of people will be planning the… [+3220 chars]",2023-01-07T10:52:02Z,https://cdn.cnn.com/cnnnext/dam/assets/230106174901-23-places-to-go-utw-nl-super-tease.jpeg,"In travel news this week: the top destinations to visit in 2023, the most punctual airlines and airports, luxury hotels with a touch of scandal, and why now is the best time to book a bucket-list vacation.","{'id': 'cnn', 'name': 'CNN'}","By Maureen O'Hare, CNN",https://www.cnn.com/travel/article/travel-news-book-2023-vacations-now/index.html
33,Investors are underestimating inflation again,A version of this story first appeared in CNN Business Before the Bell newsletter. Not a subscriber? You can sign up right here. You can listen to an audio version of the newsletter by clicking the s… [+5032 chars],2023-01-11T12:16:29Z,"https://media.cnn.com/api/v1/images/stellar/prod/230105125111-inflation-grocery-store-file-101922.jpg?c=16x9&q=w_800,c_fill",Investors are holding their breath in anticipation of Thursday morning's Consumer Price Index inflation report — arguably the most important piece of economic data so far this year.,"{'id': 'cnn', 'name': 'CNN'}",Nicole Goodkind,https://www.cnn.com/2023/01/11/investing/premarket-stocks-trading/index.html
34,Will democracy still be on a roll in 2023?,"Editors Note: This story was adapted from the January 3 edition of CNNs Meanwhile in America, the email about US politics for global readers. Click here to read past editions and subscribe.
2022 was… [+4573 chars]",2023-01-03T11:10:01Z,"https://media.cnn.com/api/v1/images/stellar/prod/230103094507-zelensky-council-of-europe-file-101322.jpg?c=16x9&q=w_800,c_fill",2022 was the year democracy bounced back. But will the worst political system apart from all the others keep up its lead in the year ahead?,"{'id': 'cnn', 'name': 'CNN'}",Stephen Collinson,https://www.cnn.com/2023/01/03/americas/will-democracy-still-be-on-a-roll-in-2023-intl/index.html
35,Opinion: The worst is over for the stock market,"Editors Note: Mark Zandi is chief economist of Moodys Analytics. The opinions expressed in this commentary are his own. View more opinion on CNN.
The worst is over for the stock market, in my view. … [+5017 chars]",2023-01-05T15:02:35Z,"https://media.cnn.com/api/v1/images/stellar/prod/230105094820-stock-exchange-0104.jpg?c=16x9&q=w_800,c_fill","Mark Zandi writes that the worst is over for the stock market, as he expects that the Federal Reserve is close to the end of its interest rate hikes and that a full-blown recession will not materialize this year.","{'id': 'cnn', 'name': 'CNN'}",Mark Zandi,https://www.cnn.com/2023/01/05/opinions/stock-market-prediction-zandi/index.html
36,10 of the best new luxury hotels opening in Asia in 2023,"Editor's Note Monthly Ticket is a CNN Travel series that spotlights some of the most fascinating topics in the travel world. In January, we're shining the spotlight on the new experiences 2023 has to… [+12575 chars]",2023-01-05T00:35:42Z,https://cdn.cnn.com/cnnnext/dam/assets/221229125053-01-body-asia-best-new-hotels-andaz-pattaya-super-tease.jpg,"From a remote luxury lodge in the Himalayas to urban sanctuaries sporting ambitious designs, we've rounded up 10 hotels and resorts scheduled to open in 2023.","{'id': 'cnn', 'name': 'CNN'}","Kate Springer, CNN",https://www.cnn.com/travel/article/asia-new-hotels-opening-2023/index.html
37,Opinion: Meet the 18 contributors who think they know what will happen in 2023,"Editors Note: Sign up to get our weekly column as a newsletter. Were looking back at the strongest, smartest opinion takes of the week from CNN and other outlets.
Predicting the future is impossible… [+12445 chars]",2023-01-01T14:08:18Z,"https://media.cnn.com/api/v1/images/stellar/prod/221219151320-20221219-crystal-ball-2023.jpg?c=16x9&q=w_800,c_fill","Which films, series and albums will win the top awards? Who will be each political party's US presidential frontrunner at the end of 2023? Which teams will emerge victorious in the most anticipated sporting events of the year? CNN Opinion contributors dare to…","{'id': 'cnn', 'name': 'CNN'}","Yaffa Fredrick, Kirsi Goldynia",https://www.cnn.com/2023/01/01/opinions/crystal-ball-2023-newsletter-fredrick-goldynia/index.html
38,Where to travel in 2023: The best destinations to visit,"(CNN) New year equals new outlook. Apply this formula liberally to travel planning in 2023.
After nearly three years of travel disruptions and complications, many countries have dropped most of thei… [+24795 chars]",2023-01-01T05:31:56Z,https://cdn.cnn.com/cnnnext/dam/assets/221215100840-03-body-23-places-to-go-2023-fiji-super-tease.jpg,New year equals new outlook. Apply this formula liberally to travel planning in 2023.,"{'id': 'cnn', 'name': 'CNN'}",CNN Travel staff,https://www.cnn.com/travel/article/where-to-travel-best-destinations-2023/index.html
